accession_number	toxo_nonsecreted_gene_name	lopit_prediction
TGGT1_224200		nucleus - non-chromatin
TGGT1_224260		nucleus - chromatin
TGGT1_224310	DHHC6	PM - integral
TGGT1_224330		cytosol
TGGT1_224480		nucleus - non-chromatin
TGGT1_224490		mitochondrion - soluble
TGGT1_224580		nucleus - non-chromatin
TGGT1_224650		nucleus - chromatin
TGGT1_224660		nucleus - chromatin
TGGT1_224720		nucleus - non-chromatin
TGGT1_224850		nucleus - non-chromatin
TGGT1_224900		mitochondrion - soluble
TGGT1_225080	RPS18	40S ribosome
TGGT1_225125		nucleolus
TGGT1_225410	CENH3	nucleus - chromatin
TGGT1_225580		cytosol
TGGT1_225730		mitochondrion - membranes
TGGT1_225790		tubulin cytoskeleton
TGGT1_225800		apicoplast
TGGT1_225850		ER
TGGT1_225880		cytosol
TGGT1_225930	TPI1	cytosol
TGGT1_225940	SABP1	IMC
TGGT1_226030		IMC
TGGT1_226068		ER
TGGT1_226240		nucleus - non-chromatin
TGGT1_226280		mitochondrion - soluble
TGGT1_226400	LIPA	apicoplast
TGGT1_226410		cytosol
TGGT1_226430		ER
TGGT1_226440	RAD16	nucleus - chromatin
TGGT1_226510		nucleus - chromatin
TGGT1_226550		cytosol
TGGT1_226640		nucleus - non-chromatin
TGGT1_226700		PM - integral
TGGT1_226720		cytosol
TGGT1_226870		nucleus - chromatin
TGGT1_226910	Aa16GL	cytosol
TGGT1_226950		nucleus - chromatin
TGGT1_226960	PFKII	cytosol
TGGT1_226970	RPS11	40S ribosome
TGGT1_227290	HDAC3	nucleus - chromatin
TGGT1_227360	RPL3	60S ribosome
TGGT1_227420		apicoplast
TGGT1_227600	RPL34	60S ribosome
TGGT1_227790		ER
TGGT1_227840		cytosol
TGGT1_227850		nucleus - non-chromatin
TGGT1_227900	AP2X1	nucleus - chromatin
TGGT1_227960		19S proteasome
TGGT1_228000		nucleus - non-chromatin
TGGT1_228180		mitochondrion - membranes
TGGT1_228190		nucleus - non-chromatin
TGGT1_228200		IMC
TGGT1_228210		19S proteasome
TGGT1_228290		cytosol
TGGT1_228470	RPL15	60S ribosome
TGGT1_228660		nucleus - chromatin
TGGT1_228750	CDPK7	nucleus - chromatin
TGGT1_229000		cytosol
TGGT1_229180		cytosol
TGGT1_229210		nucleus - non-chromatin
TGGT1_229250	RPL28	60S ribosome
TGGT1_229360		nucleus - non-chromatin
TGGT1_229440		ER
TGGT1_229490		ER
TGGT1_229650		cytosol
TGGT1_229670	RPS23	40S ribosome
TGGT1_229940		nucleus - non-chromatin
TGGT1_229950		19S proteasome
TGGT1_229990		cytosol
TGGT1_230060		nucleus - chromatin
TGGT1_230210	IMC10	IMC
TGGT1_230410	PRX3	mitochondrion - soluble
TGGT1_230420		ER
TGGT1_230440		cytosol
TGGT1_230450		cytosol
TGGT1_230690		IMC
